article_title;birth_date;death_date;death_place;religion;death_cause;honorific_prefix;birth_name;parents;spouse;children;profession;alma_mater;birth_place;summary;wikiurl;relatives;image
Satrio Budihardjo Joedono;1932-12-01;2017-04-16;Jakarta, Indonesia;Islam;;;;;;;;;Pangkalpinang, Bangka, Hindia Belanda;"Satrio ""Billy"" Budihardjo Joedono (1 Desember 1932 – 16 April 2017) adalah seorang ekonom Indonesia dan anggota Dewan Pembina, The Habibie Center. Ia menamatkan pendidikan tingkat atas di Kolese Kanisius.";https://id.wikipedia.org/wiki/Satrio_Budihardjo_Joedono;;Sixth Development Cabinet Poster (Satrio Budihardjo Joedono).jpg
Agus Hermanto;1956-05-20;;;;;;;;Istha Saraswati;;;Universitas Brawijaya;Semarang, Jawa Tengah, Indonesia;Prof. Dr. Ir. H. Agus Hermanto, MM. (lahir 20 Mei 1956) adalah Wakil Ketua sekaligus anggota DPR RI periode 2014 - 2019. Ia juga adalah wakil ketua komisi VI DPR RI periode 2004-2009 dari Partai Demokrat mewakili Jawa Tengah. Agus Hermanto adalah alumni Universitas Brawijaya dan merupakan Ketua Komisi X yang menangani Pendidikan, Olahraga, Pariwisata, Kesenian dan Kebudayaan pada periode 2009-2014..;https://id.wikipedia.org/wiki/Agus_Hermanto;;Agus Hermanto.jpg
Mas Tirtodarmo Haryono;1924-01-20;1965-10-01;Lubang Buaya, Jakarta, Indonesia;;Gugur pada peristiwa G30S PKI;;Mas Tirtodarmo Harjono;;;;;;Surabaya, Hindia Belanda;Letnan Jenderal TNI (Anumerta) Mas Tirtodarmo Haryono (Hanacaraka: ꦩꦱ꧀‌ꦠꦶꦂꦠꦣꦂꦩꦲꦂꦪꦤ) (20 Januari 1924 – 1 Oktober 1965) adalah salah satu pahlawan revolusi Indonesia yang terbunuh pada peristiwa G30SPKI. Ia dimakamkan di TMP Kalibata - Jakarta.;https://id.wikipedia.org/wiki/Mas_Tirtodarmo_Haryono;;MT Haryono.jpg
Hartini;1924-09-20;2002-03-12;Jakarta, Indonesia;;;;;;"Dr. Soewondo
Soekarno";"Siti Suwandari
Herwindo
Tri Harwanto
Sri Wulandari 
Riswulan
Soekarno Taufan Soekarnoputra
Bayu Soekarnoputra";;;Pudak, Ponorogo, Hindia Belanda;Siti Suhartini atau lebih dikenal dengan nama Hartini Soekarno (20 September 1924 – 12 Maret 2002) adalah istri keempat Presiden RI Soekarno.;https://id.wikipedia.org/wiki/Hartini;;Suhartini Suara Merdeka 20 Sep 1950 p2.jpg
Yogie Suardi Memet;1929-05-16;2007-06-07;Bandung, Jawa Barat, Indonesia;;Gagal ginjal kronis;;;;Emmy Sariamah;;;Akademi Militer;Cirebon, Jawa Barat, Hindia Belanda;Letnan Jenderal TNI (Purn) Raden H. Mohammad Yogie Suardi Memet (16 Mei 1929 – 7 Juni 2007) adalah seorang mantan perwira TNI Angkatan Darat yang menjadi birokrat dan politikus. Kiprahnya di pemerintahan pertama kali ketika menjabat sebagai Gubernur Jawa Barat masa bakti 1985–1990 dan terpilih kembali untuk masa jabatan kedua sejak Mei 1990 dan diberhentikan pada 22 Mei 1993. Ketika menjabat, Yogie ditunjuk oleh Presiden Soeharto untuk menduduki posisi Menteri Dalam Negeri di kabinetnya.;https://id.wikipedia.org/wiki/Yogie_Suardi_Memet;;Sixth Development Cabinet Poster (Yogie Suardi Memet).jpg
Sabam Sirait;1936-10-13;2021-09-29;Tangerang, Banten, Indonesia;;;;Sabam Gunung Panangian Sirait;;dr. Sondang br. Sidabutar, M.M.;"Maruarar Sirait
Batara Imanuel Sirait
Johan Bakti Porsea Sirait Mira Sirait";;Universitas Indonesia;Pulau Simardan, Asahan, Sumatera Timur, Hindia Belanda;Sabam Gunung Panangian Sirait, S.H. (13 Oktober 1936 – 29 September 2021) adalah politikus senior Indonesia. Ia menjabat Anggota Dewan Perwakilan Daerah Republik Indonesia (DPD RI) sejak 15 Januari 2018 menggantikan A.M. Fatwa yang wafat pada Desember 2017. Sabam merupakan ayah mantan Anggota Dewan Perwakilan Rakyat Republik Indonesia (DPR RI) Fraksi Partai Demokrasi Indonesia Perjuangan (PDI-P) Maruarar Sirait. Pada tanggal 1 Oktober 2019, Ia adalah pimpinan sementara MPR tertua untuk periode 2019–2024.;https://id.wikipedia.org/wiki/Sabam_Sirait;;File:Senator Sabam Sirait.jpg
Slamet Iman Santoso;1907-09-07;2004-11-09;Jakarta, Indonesia;;;;;;;;;"School tot Opleiding van Indische Artsen
Geneeskunde School of Arts Batavia Sentrum";Wonosobo, Hindia Belanda;Prof. Dr. R. Slamet Iman Santoso (7 September 1907 – 9 November 2004) adalah seorang pakar psikologi Indonesia. Ia memelopori berdirinya Fakultas Psikologi Universitas Indonesia dan menjabat sebagai dekan pertama fakultas tersebut.;https://id.wikipedia.org/wiki/Slamet_Iman_Santoso;;
Widjojo Nitisastro;1927-09-23;2012-03-09;Jakarta, Indonesia;Islam;;;;;Siti Sudarsih;;;"Universitas Indonesia
University of California";Keresidenan Malang, Hindia Belanda;Prof. Dr. Widjojo Nitisastro (23 September 1927 – 9 Maret 2012) adalah politisi Indonesia yang dikenal sebagai arsitek utama perekonomian Orde Baru. Ia sempat menjabat sebagai Menteri Negara Perencanaan Pembangunan Nasional pada 1971 hingga 1973 dan Menko Ekuin sekaligus Kepala Bappenas pada periode 1973–1978 dan 1978–1983.;https://id.wikipedia.org/wiki/Widjojo_Nitisastro;;Widjojo Nitisastro (1977).jpg
Xanana Gusmão;1946-06-20;;;;;;José Alexandre Gusmão;;"Emilia Batista
Kirsty Sword";"Eugenio Gusmão
Zenilda Gusmão
Alexandre Gusmão
Kay Olok Gusmão
Daniel Gusmão";;;Laleia, Manatuto, Timor Portugis;"José Alexandre ""Xanana"" Gusmão  (pengucapan bahasa Portugis: [ʒuˈzɛ ɐlɨˈʃɐ̃dɾɨ ʃɐˈnɐnɐ ɣuʒˈmɐ̃w]; lahir 20 Juni 1946) adalah seorang politikus Timor Leste. Ia menjabat sebagai Perdana Menteri Timor Leste ke-6 sejak tahun 2023, sebelumnya menjabat pada posisi tersebut dari tahun 2007 hingga 2015. Seorang mantan pemberontak, ia juga menjabat sebagai presiden pertama di Timor Leste sejak kemerdekaannya, dari tahun 2002 hingga 2007.";https://id.wikipedia.org/wiki/Xanana_Gusm%C3%A3o;;PM Kishida meeting with PM Gusmão of Timor-Leste (cropped).jpg
Andi Muhammad Ghalib;1946-06-03;2016-05-09;Jakarta, Indonesia;Islam;;;;;Andi Murniati;"Andi Azhar Cakra Wijaya
Andi Muhammad Surya Wijaya
Andi Fitri Indrayani
Andi Sinjaya Ghalib";;;Kaju, Tunreng Tellue, Sibulue, Bone, Sulawesi, Indonesia;Letnan Jenderal TNI (Purn.) H. Andi Muhammad Ghalib, S.H., M.H. (3 Juni 1946 – 9 Mei 2016) adalah seorang perwira dan politikus Indonesia. Ia menjabat sebagai Duta Besar Republik Indonesia untuk India dari 2008 hingga 2013 serta Jaksa Agung Republik Indonesia dari 1998 hingga 1999.;https://id.wikipedia.org/wiki/Andi_Muhammad_Ghalib;;Andi Muhammad Ghalib.jpg
Ambo Eteng Amin;1942-12-31;2015-03-19;Rumah Sakit Pendidikan Universitas Hasanuddin, Makassar, Sulawesi Selatan;;;;;;;;;;Sidenreng Rappang, Celebes, Pendudukan Jepang;Mayor Jenderal TNI (Purn.) Ambo Eteng Amin (31 Desember 1942 – 19 Maret 2015) adalah seorang perwira tinggi militer, birokrat, dan politikus dari Indonesia. Ia pernah menjabat sebagai Wakil Gubernur Sulawesi Selatan dari tahun 1990 hingga 1992 dan anggota Dewan Perwakilan Rakyat dari tahun 1995 hingga 1997.;https://id.wikipedia.org/wiki/Ambo_Eteng_Amin;;Ambo Eteng Amin, Ringkasan Riwayat Hidup dan Riwayat Perjuangan Anggota Majelis Permusyawaratan Rakyat Hasil Pemilihan Umum 1987, p228.jpg
Adnan Kapau Gani;1905-09-16;1968-12-23;Indonesia Palembang, Sumatera Selatan, Indonesia;Islam;;;;;Masturah Kapau Gani;;Dokter dan Politikus;Geneeskundige Hoogeschool te Batavia;Belanda Palembayan, Agam, Hindia Belanda;Mayor Jenderal TNI (Tit.) (Purn.) dr. Adnan Kapau Gani atau biasa disingkat A.K. Gani (16 September 1905 – 23 Desember 1968) adalah seorang dokter, politisi, aktor, dan tokoh militer Indonesia. Ia pernah menjabat sebagai Wakil Perdana Menteri pada Kabinet Amir Sjarifuddin I dan Kabinet Amir Sjarifuddin II.;https://id.wikipedia.org/wiki/Adnan_Kapau_Gani;;A.K. Gani.jpg
Achmad Soebardjo;1896-03-23;1978-12-15;Jakarta, Indonesia;;;;;;Raden Ayu Poedji Astuti Soebardjo;;Diplomat;Universitas Leiden;Karawang, Keresidenan Batavia, Hindia Belanda;Mr Raden Achmad Soebardjo Djojoadisoerjo (23 Maret 1896 – 15 Desember 1978) adalah tokoh pejuang kemerdekaan Indonesia, diplomat, dan seorang Pahlawan Nasional Indonesia. Ia adalah Menteri Luar Negeri Indonesia yang pertama. Achmad Soebardjo memiliki gelar Meester in de Rechten, yang diperoleh di Universitas Leiden Belanda pada tahun 1933.;https://id.wikipedia.org/wiki/Achmad_Soebardjo;;Achmad-Soebardjo.jpg
Tandiono Manu;1913-06-28;1986-10-30;;;;;;;;;;;Banyuwangi, Hindia Belanda;Tandiono Manu (28 Juni 1913 – 30 Oktober 1986) adalah seorang politikus Indonesia yang menjabat sebagai Menteri Pertanian dalam Kabinet Natsir antara 1950 dan 1951, dan Menteri Perdagangan dan Industri dalam Kabinet Halim Republik Indonesia pada periode Republik Indonesia Serikat.;https://id.wikipedia.org/wiki/Tandiono_Manu;;Tandiono Manu.jpg
Mohammad Nazir;1910-07-10;1982-08-30;Jakarta;Islam;;;;;;;Tentara;;Maninjau, Agam, Hindia Belanda;Laksamana Muda TNI (Purn.) Mohammad Nazir Isa gelar Datuk Basa Nan Balimo (10 Juli 1910 – 30 Agustus 1982) adalah seorang tokoh militer, menteri, dan diplomat Indonesia. Ia pernah menjabat sebagai Kepala Staf TNI Angkatan Laut (1946-1948), Menteri Pelayaran Republik Indonesia (1957-1959), dan juga pernah dipercaya sebagai Duta Besar RI di Swiss dan Vatikan Kini Namanya diabadikan menjadi nama jalan di depan mako Pangkalan Utama TNI Angkatan Laut V;https://id.wikipedia.org/wiki/Mohammad_Nazir;;Commodore M Nazir, Jalesveva Jayamahe, p215.jpg
Witarmin;1925-02-02;1983-07-05;Surabaya, Jawa Timur, Indonesia;;;;;;Suratmi;"Nunuk Indrinuswati
Wiwiek Dwi Judajati
Anik Umi Heriyani
Sudiono";;;tepi|link=Hindia Belanda|22px Kertosono, Nganjuk, Jawa Timur, Indonesia;Letnan Jenderal TNI (Purn.) Witarmin adalah tokoh penumpas pembrontakan Gerakan 30 September 1965 di Blitar Selatan, Jawa Timur. Witarmin adalah kapten Pembela Tanah Air (PETA) pada 1942.;https://id.wikipedia.org/wiki/Witarmin;;Witarmin.jpg
Poedjono Pranyoto;1936-08-06;2021-12-02;Jakarta, Indonesia;;;;;;;;;;Purwokerto, Hindia Belanda;Letnan Jenderal TNI (HOR) (Purn.) Poedjono Pranyoto (6 Agustus 1936 – 2 Desember 2021) merupakan seorang politikus berkebangsaan Indonesia. Pada tahun 1988 ia ditunjuk menjadi gubernur Lampung menggantikan Yasir Hadibroto. Ia menjabat sebagai Gubernur Lampung dari tahun 1988 hingga 1997. Sebelumnya, ia Poedjono menjabat sebagai Wakil Gubernur Papua mendampingi Izaac Hindom. Ia terakhir menjabat sebagai Wakil Ketua MPR RI dari Fraksi Utusan Daerah pada 1997 sampai 1999.;https://id.wikipedia.org/wiki/Poedjono_Pranyoto;;Poedjono Pranyoto, Deputy Speaker of the People's Consultative Assembly.jpg
Ade Komarudin;1965-05-20;;;Islam;;;;;Netty Marliza;Puteri Anetta Komarudin;Politikus;"Universitas Islam Negeri Syarif Hidayatullah Jakarta
Universitas Padjadjaran";Purwakarta, Jawa Barat, Indonesia;Dr. H. Ade Komarudin, M.H. (lahir 20 Mei 1965) adalah seorang politikus senior Partai Golongan Karya yang ditunjuk sebagai Ketua DPR RI untuk menggantikan Setya Novanto yang mengundurkan diri pada 16 Desember 2015. Ia telah menjabat sebagai anggota DPR RI selama lima periode berturut-turut, dan menjabat sebagai Ketua Fraksi Golkar DPR RI sejak 2014. Pria yang merupakan alumni UIN Syarif Hidayatullah ini sejak tahun 1997 telah berhasil duduk di kursi DPR RI hingga tahun 2019. Mengawali karier politik dengan bergabung menjadi anggota partai Golongan Karya, karier politik Ade Komarudin terus menanjak. Ia pernah menjabat menjadi wakil sekretaris jenderal di dua organisasi kepemudaan yang berbeda, yakni Angkatan Muda Pembaharuan Indonesia (AMPI) dan Komite Nasional Pemuda Indonesia (KNPI) sejak tahun 1993 hingga tahun 1998.;https://id.wikipedia.org/wiki/Ade_Komarudin;;Official Portrait of Ade Komaruddin.jpg
Juwono Sudarsono;1942-03-05;;;;;;;;;;;"Universitas Indonesia
London School of Economics and Political Science";Ciamis, Jawa Barat, Masa Pendudukan Jepang;Prof. (Em) Juwono Sudarsono, B.A., M.S., M.A., Ph.D. (lahir 5 Maret 1942) adalah seorang politikus Indonesia yang menjabat Menteri Pertahanan Republik Indonesia sejak 21 Oktober 2004 hingga 22 Oktober 2009. Ayahnya adalah Sudarsono, mantan Menteri Dalam Negeri Indonesia pada Kabinet Sjahrir II..Ia mendapatkan gelar kesarjanaan dari Universitas Indonesia dan selanjutnya gelar Ph.D. dari London School of Economics and Political Science. Dalam Kabinet Reformasi Pembangunan semasa pemerintahan Presiden Bacharuddin Jusuf Habibie, Juwono Sudarsono menjabat sebagai Menteri Pendidikan dan Kebudayaan, kemudian pada masa pemerintahan Abdurrahman Wahid dipercaya sebagai Menteri Pertahanan (1999-2000). Selanjutnya diangkat sebagai Duta Besar Luar Biasa Berkuasa Penuh untuk Kerajaan Inggris hingga tahun 2004. Pada tanggal 21 Oktober 2004 dilantik kembali sebagai Menteri Pertahanan dalam Kabinet Indonesia Bersatu di bawah Presiden Susilo Bambang Yudhoyono sampai 2009.;https://id.wikipedia.org/wiki/Juwono_Sudarsono;;Menteri Pertahanan Juwono Sudarsono.jpg
Mohammad Isnaeni;1919-04-19;2002-10-27;Jakarta;Islam;;;;;;;;;Sawoo, Ponorogo, Hindia Belanda;Mohammad Isnaeni (19 April 1919 – 27 Oktober 2002) merupakan seorang politikus berkebangsaan Indonesia yang ikut mendirikan Partai Nasional Indonesia (PNI). Dia merupakan wakil ketua DPR/MPR periode 1966—1982.;https://id.wikipedia.org/wiki/Mohammad_Isnaeni;;Mohammad Isnaeni, Dewan Perwakilan Rakyat Republik Indonesia Periode 1971 - 1977, p14.jpg
Soegiarto (militer);;;;;;;;;;;;;;Mayor Jenderal TNI (Purn) Soegiarto adalah seorang purnawirawan perwira tinggi TNI Angkatan Darat dan juga tokoh penumpas pembrontakan Gerakan 30 September 1965. Ia adalah komandan paling lama, yaitu sejak zamannya Sarwo Edhie Wibowo hingga Yogie Suardi Memet. Jabatan terakhir di militer Komandan Korem 071/Wijayakusuma, Purwokerto (1978-1981), dan Jabatan sipilnya adalah Wali kota Yogyakarta periode 1981-1986.;https://id.wikipedia.org/wiki/Soegiarto_(militer);;Wali_Kota_Jogja,_Soegiarto.jpg
Hamengkubuwana IX;1912-04-12;1988-10-02;"Washington, D.C., Amerika Serikat
yes  Astana Saptorenggo, Imogiri, Yogyakarta  Ngarsa Dalem Sampeyan Dalem Ingkang Sinuwun Kanjeng Sultan Hamengkubuwana Senapati-ing-Ngalaga 'Abdurrahman Sayyidin Panatagama Khalifatullah ingkang Jumeneng Kaping Sanga ing Ngayogyakarta Hadiningrat  Mataram  Sultan Hamengkubuwana VIII  Kanjeng Raden Ayu Adipati Anom Hamengkunegara (Raden Ajeng Kustilah)  Islam";;;Ingkang Sinuwun Sri Sultan;Gusti Raden Mas Dorodjatun;;;;;;Ngasem, Kesultanan Ngayogyakarta Hadiningrat, Keresidenan Yogyakarta, Hindia Belanda;"Jenderal TNI (Tit.) (Purn.) H. Sri Sultan Hamengkubuwana IX (Jawa: ꦲꦩꦼꦁꦏꦸꦨꦸꦮꦤ꧇꧙꧇; 12 April 1912 – 2 Oktober 1988, lahir dengan nama Gusti Raden Mas Dorodjatun) adalah Sultan Yogyakarta kesembilan dan Gubernur Daerah Istimewa Yogyakarta yang pertama. Ia merupakan Wakil Presiden Indonesia kedua yang menjabat pada tahun 1973–1978. Hamengkubuwana IX juga merupakan Ketua Kwartir Nasional Gerakan Pramuka yang pertama dan dikenal sebagai Bapak Pramuka Indonesia.";https://id.wikipedia.org/wiki/Hamengkubuwana_IX;;Hamengkubawono IX Official Portrait.jpg
Muammar Khadafi;1942-06-07;2011-10-20;Surt, Libya;;;;Muammar Muhammad Abu Minyar al-Khadafi;;"Fatiha al-Nuri
Safia el-Brasai";"Muhammad Khadafi
Saif al-Islam Khadafi
Al-Saadi Gaddafi
Mutassim Khadafi
Hannibal Khadafi
Saif al-Arab Khadafi
Khamis Khadafi
Milad
Ayesha Khadafi
Hanna Khadafi";;"Universitas Libya
Akademi Universitas Militer Benghazi";Qasr Abu Hadi, Libya Italia;"Muammar Muhammad Abu Minyar Khadafi atau Gaddafi (Arab: معمر القذافي, translit: Muʿammar al-Qaḏḏāfīcode: ar is deprecated ) adalah seorang tokoh revolusi dan politikus asal Libya. Ia berkuasa di Libya sebagai Kepala Revolusioner Republik Arab Libya dari tahun 1969 hingga 1977, dan kemudian sebagai ""Pemimpin dan Penuntun Revolusi"" Jamahiriyah Arab Libya dari tahun 1977 hingga 2011. Ia awalnya memperjuangkan nasionalisme dan sosialisme Arab, tetapi kemudian mengikuti ideologinya sendiri yang disebut Teori Internasional Ketiga.";https://id.wikipedia.org/wiki/Muammar_Khadafi;;Muammar al-Gaddafi at the AU summit.jpg
Adhyatma;1932-05-25;1999-12-02;Jakarta, Indonesia;;;;;;Siti Fatimah;;;"Universitas Indonesia
University of Berkeley";Semarang, Jawa Tengah, Hindia Belanda;dr. Adhyatma, M.P.H. (25 Mei 1932 – 2 Desember 1999) adalah Menteri Kesehatan yang menjabat pada 23 Maret 1988 hingga 11 Maret 1993.;https://id.wikipedia.org/wiki/Adhyatma;;Adhyatma - Fifth Development Cabinet.jpg
Makmun Murod;1924-12-24;2011-09-13;Jakarta, Indonesia;;;;;;;;;Akademi Militer;Baturaja, Sumatera Selatan, Hindia Belanda;Jenderal TNI (Purn.) Makmun Murod (24 Desember 1924 – 13 September 2011) adalah tokoh militer Indonesia dan tokoh Ogan Baturaja yang pernah menjabat sebagai Kepala Staf TNI Angkatan Darat dari tahun 1974 hingga 1978. Sebelum menjadi KASAD ia pernah menjabat Pangdam V/Jayakarta (1969-1970) dengan pangkat Mayor Jenderal TNI.;https://id.wikipedia.org/wiki/Makmun_Murod;;Jenderal_TNI_Makmun_Murod.png
Endang Agustini Syarwan;1949-08-17;;;Islam;;;;;Syarwan Hamid;;;;Tajinan, Malang;Hj. Endang Agustini Syarwan, S.I.P. (lahir 17 Agustus 1949) adalah anggota DPR RI periode 2009-2014 dari Partai Golkar mewakili Jawa Timur. Endang Agustini bertugas di Komisi IX Kementerian Kesehatan Indonesia, Kementerian Tenaga Kerja dan Transmigrasi Indonesia, Asuransi Kesehatan Indonesia dan Jamsostek. Ia merupakan istri dari mantan Mendagri Letjen Pur Syarwan Hamid yang menjabat pada pemerintahan Bacharuddin Jusuf Habibie. Endang Agustini turut terlibat menyusun Badan Penyelenggara Jaminan Sosial. Dia alumnus dari Fakultas Sosial Universitas Terbuka 1993-1997.;https://id.wikipedia.org/wiki/Endang_Agustini_Syarwan;;
Soedharmono;1927-03-12;2006-01-25;Jakarta, Indonesia;Islam;;;;;Emma Norma;;Militer;;Cerme, Gresik, Jawa Timur, Hindia Belanda;Letnan Jenderal TNI (Purn.) H. Soedharmono, S.H. (12 Maret 1927 – 25 Januari 2006) adalah Wakil Presiden Indonesia kelima yang menjabat selama periode 1988–1993 mendampingi Soeharto.;https://id.wikipedia.org/wiki/Soedharmono;;Sudharmono Official Portrait.jpg
Bambang Triantoro;1931-01-07;2008-04-02;;;;;;;;;;;Surabaya, Jawa Timur;Letnan Jenderal TNI (Purn.) Bambang Triantoro (7 Januari 1931 – 2 April 2008) merupakan seorang perwira tinggi angkatan darat dan birokrat dari Indonesia. Ia menjabat sebagai Kepala Staf Bidang Sosial Politik ABRI dari 1985 hingga 1987 dan Sekretaris Jenderal Departemen Pendidikan dan Kebudayaan dari tahun 1987 hingga 1993.;https://id.wikipedia.org/wiki/Bambang_Triantoro;;Bambang Triantoro, Commander-General of the Development, Education, and Training Command.jpeg
Surono Reksodimedjo;1923-09-06;2010-08-03;Jakarta, Indonesia;;;;;;"R.A.Y. Winarni Cokrosewoyo
R.A.Y. Sunarti Cokrosewoyo";;;Pembela Tanah Air;Banyumas, Jawa Tengah, Hindia Belanda;Jenderal TNI (Purn.) Soerono Reksodimedjo (6 September 1923 – 3 Agustus 2010) adalah Kepala Staf TNI Angkatan Darat dari April 1973 hingga Mei 1974 dan Wakil Panglima Angkatan Bersenjata (Wapangab). Ia juga pernah menjabat sebagai Menteri Koordinator Bidang Kesejahteraan Rakyat Republik Indonesia dan Menteri Koordinator Bidang Politik Keamanan Republik Indonesia pada masa pemerintahan Presiden Soeharto.;https://id.wikipedia.org/wiki/Surono_Reksodimedjo;;Jenderal_TNI_Surono_Reksodimejo.png
Siti Hartinah;1923-08-23;1996-04-28;Jakarta, Indonesia;Islam;;Hj. Raden Ayu;;"K. P. H Soemoharjomo
K. R. Ay. Hatmanti Hatmohoedojo";Soeharto;"Siti Hardijanti Rukmana
Sigit Harjojudanto
Bambang Trihatmodjo
Siti Hediati Hariyadi
Hutomo Mandala Putra
Siti Hutami Endang Adiningsih";;;Jaten, Kadipaten Mangkunegaran, Hindia Belanda;Hj. Raden Ayu Siti Hartinah  (23 Agustus 1923 – 28 April 1996), atau lebih dikenal dengan Ibu Tien Soeharto, adalah istri Presiden Indonesia kedua, Jenderal Besar Purnawirawan Soeharto.Siti Hartinah merupakan anak kedua pasangan KPH Soemoharjomo dan Raden Ayu Hatmanti Hatmohoedojo. Ia merupakan canggah Mangkunagara III dari garis ibu. Tien menikah dengan Soeharto pada tanggal 26 Desember 1947 di Surakarta.;https://id.wikipedia.org/wiki/Siti_Hartinah;;Raden Ayu Siti Hartinah.jpg
Soetedjo (akademisi);1901-11-19;1981-04-25;Indonesia;;;;;;Soemini;;;Institut Teknologi Bandung;Batavia, Hindia Belanda;"Prof. Ir. Soetedjo (19 Januari 1901 – 25 April 1981) adalah seorang guru besar teknik sipil Institut Teknologi Bandung yang berperan penting dalam upaya pendirian Institut Teknologi Bandung. Dia merupakan Anggota Presidium ITB yang bertugas dalam memimpin kampus ini pada periode 2 Maret 1959 sampai dengan 1 November 1959, sehingga ia bersama anggota Presidium lainnya dapat dianggap sebagai rektor pertama ITB; atau rektor ketujuh belas Kampus Ganesha sejak TH Bandung didirikan.";https://id.wikipedia.org/wiki/Soetedjo_(akademisi);;Soetedjo.jpg
Setiadi Reksoprodjo;1921-09-18;2010-07-28;Jakarta, Indonesia;;;;;;Koes Soehartini;;;;Kutoarjo, Jawa Tengah, Hindia Belanda;Setiadi Reksoprodjo (18 November 1921 – 28 Juli 2010) adalah seorang politikus Indonesia yang menjabat sebagai Menteri Penerangan, Menteri Muda Penerangan, anggota Majelis Permusyawaratan Rakyat Sementara, anggota Konstituante, dan Menteri Urusan Listrik dan Ketenagaan. Setiadi berusia 25 tahun 7 bulan saat ia diangkat menjadi Menteri Penerangan, menjadikannya menteri termuda di Indonesia sampai saat ini.;https://id.wikipedia.org/wiki/Setiadi_Reksoprodjo;;Setiadi Reksoprodjo.jpg
Satrio;1916-05-28;1986-05-05;Bandung, Jawa Barat, Indonesia;Islam;;;;;Ny. R.A. Isbandiyah;;;;Genteng, Banyuwangi, Jawa Timur, Hindia Belanda;Mayor Jenderal TNI (Purn.) Prof. Dr. Satrio (28 Mei 1916 – 5 Mei 1986) adalah perwira tentara dan politisi Indonesia. Dia pernah menjabat sebagai Menteri Kesehatan Republik Indonesia pada 1959 hingga 1966 dan pernah memimpin Rumah Sakit Pusat Angkatan Darat Gatot Subroto pada 1950 hingga 1952.;https://id.wikipedia.org/wiki/Satrio;;Satrio.jpg
