title,jenis_infobox,infobox
Tragedi Trisakti,infobox civilian attack,"{{Infobox civilian attack
| title            = Tragedi Trisakti
| partof           = [[Kerusuhan Mei 1998]]
| image            = Trisakti shooting schematics.png
| image_size       = 300px
| caption          = Garis besar situasi di [[Universitas Trisakti]] selama penembakan
| location         = [[Jakarta]], Indonesia
| target           = Mahasiswa di [[Universitas Trisakti]]
| date             = {{start date and age|1998|05|12|df=y}}
| coordinates      = {{Coord|-6.1675|106.79|type:event_region:ID|display=it}}
| time             = 
| timezone         = 
| fatalities       = [[Elang Mulia Lesmana]]<br>[[Heri Hertanto]]<br>[[Hafidin Royan]]<br>[[Hendriawan Sie]]
| injuries         = 15
| perp             = [[Tentara Nasional Indonesia Angkatan Darat]]
}}"
Soedarsono Hadisapoetro,infobox officeholder,"{{Infobox Officeholder
|name               = {{PAGENAME}}
|image              = Soedarsono Hadisapoetro.jpg
|imagesize          =
|caption            = 
|office             = Daftar Menteri Pertanian Republik Indonesia {{!}} Menteri Pertanian
|order              = ke-17
|term_start         = 29 Maret 1978
|term_end           = 19 Maret 1983
|succeeding         = 
|president          = [[Soeharto]]
|predecessor        = [[Thoyib Hadiwidjaja]]
|successor          = [[Achmad Affandi]]
|birth_date         = {{birth date|1921|7|15}}
|birth_place        = [[Surakarta]], [[Jawa Tengah]], [[Indonesia]]
|death_date         = {{death date and age|1988|6|10|1921|7|15}}
|death_place        = [[Jakarta]], [[Indonesia]]
|nationality        = [[Indonesia]]
|party              = 
|spouse             = Sendang Lestari
|relations          = [[:en:Ananda Syahendar Perdana|Ananda Syahendar Perdana]] (cucu)
|children           = 
|alma_mater         = [[Universitas Gadjah Mada]]
|occupation         = 
|profession         = 
|religion           = 
|signature          = 
|website            = 
|footnotes          = 
}}"
Gempa bumi Liwa 1994,infobox earthquake,"{{Infobox earthquake
| title = Gempa bumi Liwa 1994
| timestamp = 1994-02-15 17:07:43
| anss-url = usp00068jd
| isc-event = 185661
| local-date = {{Start-date|16 Februari 1994}}
| local-time = 00:07 [[Time in Indonesia|WIB]]
| image =
| image alt =
| map =
|map2 = {{Location map | Indonesia Sumatra
 | relief = yes
| label =
| lat = -4.967
| long = 104.302
| mark = Bullseye1.png
| marksize = 40
| position = top
| width = 250
| float = right
| caption = }}
|caption = 
| map_alt =
| magnitude = 7.0 [[Skala kekuatan Moment|M<sub>w</sub>]]
| depth = {{convert|23|km|abbr=on}}
| location = {{Coord|4.967|S|104.302|E|display =inline,title}}
| type = [[Patahan (geologi)#Strike-slip faults|Strike-slip]]
| fault = [[Sesar Semangko]]
| countries affected = [[Indonesia]]
| tsunami =
| intensity = {{MMI|X}}<ref name=""BMKG"">{{cite web |title=Katalog Gempabumi Signifikan dan Dirasakan |url=https://www.bmkg.go.id/gempabumi/katalog-gempabumi-signifikan.bmkg |publisher=BMKG |access-date=26 August 2021 |archive-date=2021-07-25 |archive-url=https://web.archive.org/web/20210725043658/https://www.bmkg.go.id/gempabumi/katalog-gempabumi-signifikan.bmkg |dead-url=no }}</ref>
| casualties =207 tewas and 2000+ luka
}}"
Sudono Salim,infobox person,"{{Infobox person
| honorific-prefix   = 
| name               = Soedono Salim
| native_name        = {{lang|zh-hans|林紹良}}
| image              = Sudono-salim.jpg
| imagesize          = 
| caption            = Foto portrait Soedono Salim
| order              = 
| office1            = 
| president1         = 
| term_start1        = 
| term_end1          = 
| predecessor1       = 
| successor1         = 
| birth_name         = Liem Sioe Liong
| birth_date         = {{birth date|1916|7|19}}
| birth_place        = [[Fuqing]], [[Republik Tiongkok (1912–1949)|Republik Tiongkok]]
| death_date         = {{death date and age|2012|6|10|1916|7|19}}
| death_place        = [[Singapura]]
| party              = 
| spouse             = Lie Kim Nio (alias [[Lilani Salim|Lilani]])
| children           = [[Albert Salim]] <br/> [[Andree Halim]] <br/> [[Anthony Salim]] <br/> [[Mira Salim]]
| residence          = 
| alma_mater         = 
| occupation         = Pengusaha
| known_for          = Pendiri [[Salim Group]]
}}"
Akbar Tanjung,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix   = [[Insinyur|Ir.]] 
|name               = Akbar Tanjung
|image              = Akbar Tandjung, Buku Kenangan Anggota Dewan Perwakilan Rakyat Republik Indonesia 1999-2004, p564.jpg
|imagesize          = 
|caption            = Akbar Tandjung, 1999
|office             = Ketua Dewan Perwakilan Rakyat
|order              = ke-13
|term_start         = 6 Oktober 1999
|term_end           = 1 Oktober 2004
|predecessor        = [[Harmoko]]
|successor          = [[Agung Laksono]]
|office2             = Ketua Umum Partai Golongan Karya 
|order2              = ke-7
|term_start2         = 11 Juli 1998
|term_end2           = 19 Desember 2004
|predecessor2        = [[Harmoko]]
|successor2          = [[Jusuf Kalla]]
|office3            = Menteri Sekretaris Negara Indonesia
|order3             = ke-6
|president3         = [[B. J. Habibie]]
|term_start3        = 23 Mei 1998
|term_end3          = 20 Oktober 1999
|predecessor3       = [[Saadilah Mursjid]]
|successor3         = [[Alirahman]]
|office4            = Daftar Menteri Perumahan Rakyat Indonesia{{!}}Menteri Negara Perumahan Rakyat dan Pemukiman Indonesia
|order4             = ke-3
|president4         = [[Soeharto]]
|term_start4        = 17 Maret 1993
|term_end4          = 21 Mei 1998
|predecessor4       = [[Siswono Yudohusodo]]
|successor4         = [[Theo L. Sambuaga]]
|office5            = Daftar Menteri Pemuda dan Olahraga Indonesia{{!}}Menteri Negara Pemuda dan Olahraga Indonesia
|order5             = ke-5
|president5         = Soeharto
|term_start5        = 21 Maret 1988
|term_end5          = 17 Maret 1993
|predecessor5       = [[Abdul Gafur]]
|successor5         = [[Hayono Isman]]
|office6            = Anggota [[Dewan Perwakilan Rakyat Republik Indonesia|Dewan Perwakilan Rakyat<br>Republik Indonesia]]
|term_start6        = 1 Oktober 1999
|term_end6          = 1 Oktober 2004
|constituency6      = [[Daerah Khusus Ibukota Jakarta (daerah pemilihan)|DKI Jakarta]]
|predecessor6       = <!-- kalau mengganti di tengah jabatan -->
|successor6         = <!-- kalau digantikan di tengah jabatan -->
|1blankname6        = Perolehan suara
|1namedata6         = 
|term_start7        = 1 Oktober 1977
|term_end7          = 21 Maret 1988
|constituency7      = [[Jawa Timur (daerah pemilihan)|Jawa Timur]]
|predecessor7       = <!-- kalau mengganti di tengah jabatan -->
|successor7         = Potsdam Hutasoit
|1blankname7        = Perolehan suara
|1namedata7         = 
|birth_date         = {{birth date and age|1945|8|14}}
|birth_place        = [[Sorkam, Tapanuli Tengah]], [[Sumatera Utara]], [[Masa Pendudukan Jepang|Hindia Jepang]]
|death_date         = 
|death_place        = 
|nationality        = [[Indonesia]]
|party              = [[Partai Golongan Karya]]
|relations          = [[Usman Zahiruddin Tandjung]] (kakak)
|spouse             = Krisnina Maharani 
|children           = 4
|residence          = 
|alma_mater         = [[Universitas Indonesia]]<br/>[[Universitas Gadjah Mada]]
|occupation         = [[Politikus]]
|religion           = [[Islam]]
}}"
Monumen Pahlawan Revolusi,,
Malari,infobox civil conflict,"{{Infobox Civil Conflict
| title = Peristiwa Malari
| partof =
| image =[[File:MalariRiotsJakarta1.jpg|300px]]
| caption = 
| date = 15 – 16 Januari 1974
| place = [[Jakarta]], Indonesia
| coordinates = 
| causes = Korupsi<br />Persaingan dari investasi asing<br />Perebutan kekuasaan militer
| status =
| goals = 
| result = Lihat [[#Akibat|Akibat]]
| methods = [[Unjuk rasa|Demonstrasi]], [[kerusuhan]], [[pogrom]]
| side1 = Mahasiswa Indonesia dan masyarakat miskin perkotaan
| side2 = Pemerintah [[Orde Baru]] 
| side3 =
| leadfigures1 =
| leadfigures2 =
| leadfigures3 =
| howmany1 =
| howmany2 =
| howmany3 =
| casualties1 = 11 tewas, 137 luka-luka
| casualties2 = Tidak ada yang dilaporkan
| casualties3 =
| casualties_label =
| notes =
}}"
Pernyataan Keprihatinan 1 Juli 1996,,
Langit Makin Mendung,infobox short story <!--see [[wikipedia:wikiproject novels]]-->,"{{Infobox short story <!--See [[Wikipedia:WikiProject Novels]]-->
| name              = Langit Makin Mendung
| image             = <!-- include the [[Berkas:]] and size -->
| caption           = 
| title_orig        = 
| translator        = 
| author            = Kipandjikusmin
| country           = Indonesia
| language          = Indonesia
| series            = 
| genre             = 
| published_in      = ''Sastra''
| publication_type  = 
| publisher         = 
| media_type        = Majalah
| pub_date          = 
| english_pub_date  = 
| preceded_by       = 
| followed_by       = 
}}"
M. Sarbini,infobox officeholder,"{{Infobox Officeholder
| honorific-prefix    = [[Jenderal]] [[TNI]] ([[Anumerta]])
| name                = {{PAGENAME}}
| image               = Mayjen TNI M. Sarbini.jpg
| imagesize           = 
| caption             = M. Sarbini dengan pangkat Mayor Jenderal, 1966
| office              = Ketua Kwartir Nasional Gerakan Pramuka
| order               = ke-2
| term_start          = 27 November 1974
| term_end            = 21 Agustus 1977
| president           = [[Soeharto]]
| predecessor         = [[Hamengkubuwana IX]]
| successor           = [[Mashudi]]
| office3             = Menteri Koordinator Pertahanan Keamanan Indonesia
| order3              = ke-12
| term_start3         = 24 Februari 1966
| term_end3           = 28 Agustus 1966
| president3          = [[Soekarno]]
| predecessor3        = [[A. H. Nasution]]
| successor3          = [[Soeharto]]
| office2             = Menteri Transmigrasi dan Koperasi Indonesia
| order2              = ke-5
| term_start2         = 17 Oktober 1967
| term_end2           = 11 September 1971
| president2          = [[Soeharto]]
| predecessor2        = Sujono Suparto
| successor2          = [[Radius Prawiro]]
| office4             = Menteri Veteran dan Demobilisasi Indonesia
| order4              = ke-5
| term_start4         = 27 Agustus 1964
| term_end4           = 22 Februari 1966
| president4          = [[Soekarno]]
| predecessor4        = Sambas Atmadinata
| successor4          = [[Basuki Rahmat]]
| term_start5         = 31 Maret 1966
| term_end5           = 11 Oktober 1967
| president5          = [[Soekarno]]<br>[[Soeharto]]
| predecessor5        = [[Basuki Rahmat]]
| successor5          = ''Jabatan dialihkan''
| birth_date          = {{birth date|1914|6|10}}
| birth_place         = [[Indrosari, Buluspesantren, Kebumen]], [[Jawa Tengah]], [[Hindia Belanda]]
| death_date          = {{death date and age|1977|8|21|1914|6|10}}
| death_place         = [[Jakarta]], [[Indonesia]]
| serviceyears        = 1942–1971
| rank                = [[Berkas:Pdu jendtni komando.png|25px]] [[Jenderal]] [[TNI]]
| branch              = [[File:Flag of PETA (Pembela Tanah Air).svg|25px]] [[PETA]]{{br}}[[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
| unit                = [[Infanteri]]
| nationality         = Indonesia
| party               = Independen (1942-1977)
| father              = M. Martoredjo
| mother              = Sukinah
| spouse              = Ny. Salami binti R. Sastrowihardjo
| children            = Saryanto Sarbini
| residence           = Menteng, Jakarta
| alma_mater          = Akademi Militer
| occupation          = TNI
| blank1              = Agama
| data1               = [[Islam]]
| signature           = 20 tahun G.K.B.I (page 21 crop).jpg
| allegiance          = {{Flag|Jepang}} (1942–45){{br}}{{Flag|Indonesia}} (1945–71)
| battles             = [[Revolusi Nasional Indonesia|Perang Kemerdekaan Indonesia]]
}}"
Partai Ikatan Pendukung Kemerdekaan Indonesia,infobox political party,"{{Infobox political party
 | abbreviation    = IPKI
 | country         = Indonesia
 | name            = Ikatan Pendukung Kemerdekaan Indonesia
 | logo            = IPKI.jpg
 | logo_size       = 150px
 | colorcode       = {{party color|League of Supporters of Indonesian Independence}}
 | leader          = 
 | president       = 
 | chairperson     = 
 | spokesperson    = 
 | leader1_name    = 
 | leader2_name    = 
 | leader3_name    = 
 | foundation      = 20 Mei 1954 (orisinal)<br>12 September 1998 (revival)
 | dissolution     = 11 Januari 1973 (orisinal)<br>1999 (revival) 
 | newspaper       = 
 | youth_wing      = 
 | membership_year = 
 | membership      = 
 | ideology        = [[Pancasila]] 
 | national        = 
 | international   = 
 | europarl        = 
 | colors          = 
 | anthem          = ''[[Mars Pancasila|Garuda Pancasila]]''
 | symbol          = 
 | website         = 
 | footnotes       = 
 | state           = Indonesia
}}"
Eurico Guterres,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix    =
|name                = Eurico Guterres
|honorific-suffix    = 
|image               = 0240 Militia Leader Eurico Guterres 1999.jpg
|imagesize           = 
|smallimage          =
|caption             = Eurico Guterres
|order               = 
|office              = Ketua Umum [[Uni Timor Aswain]]
|term_start          = 2010
|term_end            = 2019
|predecessor         = [[Domingos MD Soares]]
|successor           = [[Filomeno Hornay]] (Pj.)
|office2 = Anggota [[DPRD]] [[Timor Timur]] Fraksi [[Golkar]]
|order2 = 
|term_start2 = 1999
|term_end2 = 2004
|lieutenant2 = 
|president2 = [[Bacharuddin Jusuf Habibie]]
|governor2 = [[José Abílio Osório Soares]]
|predecessor2 = 
|successor2 = 
|birth_date          = {{birth date and age|1969|7|4}}
|birth_place         = Waitame, Uatolari, [[Viqueque]], [[Timor Portugis]]
|death_date          = 
|death_place         = 
|nationality         = [[Indonesia]]
|party               = {{Parpolicon|Partai Gerakan Indonesia Raya}} (2021–sekarang)
|otherparty          = {{unbulleted list|{{Parpolicon|Partai Golongan Karya}} (1999–2000)|{{Parpolicon|Partai Demokrasi Indonesia Perjuangan}} (2000–2005)|{{Parpolicon|Partai Amanat Nasional}} (2005–2017)|{{Parpolicon|Partai Persatuan Indonesia}} (2018–2021)}}
|spouse              = Guida Giatris
|partner             = <!--For those with a domestic partner and not married -->
|relations           =
|children            = {{unbulleted list|Gakes Guterres (1993)|Alicia Cloutilde (1995)|Ronaldo Guterres (2000)}}
|parents             = 
|residence           =
|alma_mater          =
|occupation          =
|profession          = [[Politisi]]
|awards              = [[Bintang Jasa Utama]]<ref>{{Cite news|url=https://www.cnnindonesia.com/nasional/20210812103324-20-679397/daftar-tokoh-penerima-tanda-jasa-dan-kehormatan-dari-jokowi|title=Daftar Tokoh Penerima Tanda Jasa dan Kehormatan dari Jokowi|date=12 Agustus 2021|access-date=5 September 2021|work=[[CNN Indonesia]]}}</ref>
|signature           =
}}"
Pasukan Pengamanan Masyarakat Swakarsa,,
Djakarta 1966,infobox film,"{{Infobox Film
|movie_name     = Djakarta 1966
|image          = 
|size           = 230px
|caption        = 
|director       = [[Arifin C. Noer]]<br/>[[A. Nugraha]]
|producer       = [[G. Dwipayana]]
|eproducer      = 
|aproducer      = 
|writer         = Arifin C. Noer<br />[[Bur Rasuanto]]
|starring       = {{plainlist|
*[[Amoroso Katamsi]]
*[[Umar Kayam]]
*[[A. Nugraha]]
*[[Cok Simbara]]
*[[Ikranagara]]
*[[Jajang C. Noer]]
*[[Piet Pagau]] 
*[[Rachmat Kartolo]]
*[[Pujiono Surya Triono]]
*[[Ratna Riantiarno]] 
*[[Tizar Purbaya]]
}}
|music          = [[Embie C. Noer]]
|cinematography = [[Hasan Basri Jafar]]
|editing        = [[Norman Benny]]
|distributor    = 
|studio         = [[PPFN]]
|release_date   = [[Maret]] [[1989]]
|runtime        = 135 menit
|country        = {{negara|Indonesia}} [[Indonesia]]
|awards         = 
|movie_language = [[Bahasa Indonesia]]
|budget         = 
|gross          = 	
|preceded_by    = ''[[Operasi Trisula (film)|Operasi Trisula]]''
|followed_by    = 
|amg_id         = 
|imdb_id        = 
}}"
Krisis finansial Asia 1997,,
Resolusi 1272 Dewan Keamanan Perserikatan Bangsa-Bangsa,infobox un resolution,"{{Infobox UN resolution|number=1272|organ=SC|image=Flag of East Timor.svg|caption=[[Flag of East Timor]]|date=25 Oktober|year=1999|meeting=4,057|code=S/RES/1272|document=https://undocs.org/S/RES/1272(1999)|subject=Situasi di Timor|for=15|against=0|abstention=0|result=Disetujui}}"
Oetojo Oesman,infobox officeholder,"{{Infobox Officeholder
|name               = {{PAGENAME}}
|image              = Sixth Development Cabinet Poster (Oetojo Oesman).jpg
|imagesize          = 
|caption            = 
|office             = Menteri Kehakiman Indonesia
|order              = ke-20
|term_start         = 17 Maret 1993
|term_end           = 16 Maret 1998
|succeeding         = 
|president          = [[Soeharto]] 
|predecessor        = [[Ismail Saleh]]
|successor          = [[Muladi]]
|birth_date         = {{Birth date and age|1935|6|3|mf=y}}
|birth_place        =  [[Batavia]], [[Hindia Belanda]]
|death_date         = 
|death_place        = 
|nationality        = [[Indonesia]]
|party              = 
|spouse             = 
|relations          = 
|children           = [[Dewi Asmara]]
|alma_mater         = [[Universitas Indonesia]]
|occupation         = 
|profession         = Menteri
|religion           = [[Islam]]
|signature          = 
|website            = 
|footnotes          = 
}}"
